theta,E=0.010000,E=0.014384,E=0.020691,E=0.029764,E=0.042813,E=0.061585,E=0.088587,E=0.127427,E=0.183298,E=0.263665,E=0.379269,E=0.545559,E=0.784760,E=1.128838,E=1.623777,E=2.335721,E=3.359818,E=4.832930,E=6.951928,E=10.000000
2.361,296.201679310578,205.91727367241,143.152205265582,99.5183818575644,69.1844621546264,48.0965396973153,33.4363679186417,23.2447221073822,16.1595633582014,11.2340120359965,7.80980423959676,5.42931964692464,3.77442390668731,2.62395230964938,1.82415274318172,1.26813784618747,0.881600295229656,0.612882174351667,0.426071272514919,0.296201679310578
2.362,295.780845821538,205.624713262439,142.948819376124,99.3769894523686,69.0861671731001,48.0282057342578,33.3888626397899,23.211696779744,16.1366043883359,11.2180511255383,7.79870832962582,5.42160585024581,3.76906133080501,2.62022428552705,1.8215610476679,1.26633611813637,0.880347746867864,0.612011411753686,0.425465924629621,0.295780845821538
2.363,295.360185182494,205.33227301654,142.745517023863,99.2356551216309,68.9879125645186,47.9598998381808,33.3413768729006,23.1786850166816,16.1136548484658,11.2020967707451,7.78761697710589,5.41389522187408,3.76370095750698,2.61649779262544,1.81897041664769,1.26453513011357,0.87909571296841,0.611141006806216,0.424860825380383,0.295360185182494
2.364,294.939697076777,205.039952714567,142.542298055755,99.0943787589554,68.8896982549164,47.8916219576638,33.2939105822269,23.145686793344,16.0907147213149,11.1861489596063,7.77653017368743,5.40618775600493,3.75834278275796,2.61277282813926,1.81638084817089,1.26273488076329,0.877844192588769,0.610270958854019,0.424255974311686,0.294939697076777
2.365,294.519381188145,204.747752136671,142.339162318962,98.9531602580912,68.7915241704287,47.8233720413565,33.2464637320704,23.1127020849139,16.0677839896302,11.1702076801281,7.7654479110323,5.39848344684174,3.75298680252819,2.60904938926705,1.81379234028992,1.26093536873159,0.876593184787698,0.609401267242753,0.423651370968638,0.294519381188145
2.366,294.09923720079,204.455671063305,142.136109660859,98.8119995129327,68.6933902372914,47.755150037979,33.1990362867815,23.0797308666079,16.0448626361827,11.1542729203327,7.75437018081376,5.39078228859582,3.7476330127934,2.60532747321118,1.8112048910599,1.2591365926664,0.875342688625243,0.608531931318967,0.423047014896964,0.29409923720079
2.367,293.679264799335,204.16370927522,141.933139929023,98.6708964175183,68.595296381841,47.6869558963205,33.1516282107591,23.0467731136765,16.0219506437666,11.138344668259,7.74329697471638,5.38308427548632,3.7422814095348,2.6016070771778,1.80861849853856,1.25733855121749,0.874092703162727,0.607662950430099,0.422442905643007,0.293679264799335
2.368,293.25946366883,203.871866553466,141.730252971242,98.5298508660309,68.4972425305141,47.6187895652406,33.1042394684505,23.0138288014036,15.9990479951995,11.1224229119617,7.73222828443603,5.37538940174031,3.73693198873907,2.59788819837688,1.80603316078631,1.25554124303643,0.872843227462749,0.606794323924475,0.421839042753728,0.29325946366883
2.369,292.839833494754,203.580142679389,141.527448635511,98.3888627527972,68.3992286098473,47.5506509936679,33.0568700243513,22.980897905107,15.9761546733224,11.1065076395122,7.72116410167991,5.36769766159266,3.73158474639835,2.5941708340222,1.80344887586617,1.25374466677668,0.871594260589186,0.605926051151309,0.421235425776706,0.292839833494754
2.37,292.420373963012,203.288537434634,141.32472677003,98.2479319722871,68.301254546477,47.4825401306007,33.0095198430055,22.9479804001377,15.9532706609996,11.0905988389977,7.71010441816644,5.36000904928609,3.72623967851023,2.5904549813313,1.80086564184379,1.25194882109349,0.870345801607181,0.605058131460697,0.420632054260132,0.292420373963012
