theta,E=0.010000,E=0.014384,E=0.020691,E=0.029764,E=0.042813,E=0.061585,E=0.088587,E=0.127427,E=0.183298,E=0.263665,E=0.379269,E=0.545559,E=0.784760,E=1.128838,E=1.623777,E=2.335721,E=3.359818,E=4.832930,E=6.951928,E=10.000000
0.011,141625550103883,68446640365141.5,33079783794933.8,15987228738795.2,7726516120268.65,3734171339645.84,1804698958338.24,872198416727.182,421527410223.521,203721256725.609,98457062186.9036,47583611304.4026,22996827393.3492,11114206250.0532,5371418346.36055,2595969015.0145,1254613715.10589,606346056.146211,293042818.978775,141625550.103883
0.012,99997474328342.4,48328081746224.8,23356624764349.8,11288093809460,5455456990757.38,2636584305585.9,1274242801700.98,615832656762.305,297627626876.653,143841355776.653,69517523789.0142,33597334283.0558,16237357279.1984,7847401498.91309,3792594399.83104,1832934415.75813,885844416.323633,428122426.632043,206908582.148072,99997474.3283424
0.013,72600968715900.1,35087541705667.6,16957564130646.8,8195472445952.28,3960814660342.44,1914234094134.73,925135983724.874,447111767053.476,216085997901.4,104432855338.963,50471670446.8062,24392606229.3598,11788776424.3447,5697433405.69771,2753529818.86453,1330761752.43994,643147871.370173,310828879.541797,150221429.095893,72600968.7159002
0.014,53976613873058.2,26086520936281.5,12607433585209,6093084700474.16,2944745329510.05,1423174874788.2,687810488713.949,332414010931.245,160653372515.454,77642654195.8469,37524153126.6078,18135161432.238,8764597006.72432,4235868590.26934,2047165739.6529,989380920.653663,478160896.889304,231091825.747891,111685067.254374,53976613.8730582
0.015,40959518436355.8,19795449520840.1,9567002657538.9,4623665643611.61,2234585350205.59,1079959510967.8,521936897698.946,252248461551.556,121909921746.572,58918214719.0925,28474762151.8565,13761653903.9846,6650911328.53262,3214339047.37247,1553467637.90683,750780072.188258,362846771.339572,175361313.317515,84750899.3807872,40959518.4363558
0.016,31640416479266,15291592556364.8,7390320006157.44,3571690103048.01,1726172910182.82,834247325462.594,403185912567.579,194856938861.4,94172999201.8786,45513153549.9753,21996189604.4435,10630604987.2672,5137697229.72756,2483013229.81766,1200022972.11595,579962730.891993,280291941.937256,135463140.181656,65468390.6395812,31640416.479266
0.017,24827261876572,11998842466422.5,5798956858383.2,2802595395305.33,1354474803245.31,654608223398.776,316367587728.168,152898248123.546,73894656678.0935,35712772072.8436,17259733605.4067,8341508845.1263,4031393033.29247,1948344129.41666,941621125.820155,455078921.225421,219936467.932695,106293760.643659,51371032.9986247,24827261.8765721
0.018,19753180110473.4,9546574146386.1,4613792686683.67,2229813818997.47,1077653463221.8,520822400910.623,251709833028.649,121649606339,58792406098.6106,28413959723.2365,13732268514.399,6636709574.74256,3207475438.8392,1550150503.78422,749176924.407598,362071981.200967,174986862.648574,84569929.9847093,40872057.1896998,19753180.1104734
0.019,15911653706234.1,7689991234254.09,3716519117037.83,1796167762296.21,868075349194.912,419534760448.283,202758222990.246,97991634700.8635,47358673447.2881,22888116496.2044,11061667031.8459,5346026508.72203,2583697317.02089,1248682889.07469,603479729.299623,291657543.209725,140956055.988583,68123078.5297034,32923408.6170802,15911653.7062341
0.02,12960225633290.4,6263586636184.18,3027147725592.85,1462999377964.14,707057393277.455,341715905637.633,165148913335.705,79815317712.7393,38574186247.511,18642635114.3895,9009855497.09923,4354400307.70928,2104451291.79744,1017066628.37292,491541206.29057,237558435.938574,114810334.847534,55487033.8985197,26816496.3976812,12960225.6332904
0.021,10662482562928.4,5153103439662.06,2490458943603.09,1203621433646.08,581701842246.124,281132442322.419,135869348154.355,65664708119.0214,31735295347.5407,15337446851.5135,7412481067.11666,3582400389.21087,1731349116.76885,836748949.995664,404394930.252721,195441248.674349,94455392.0582485,45649632.0474459,22062148.7101775,10662482.5629284
0.022,8852132422003.97,4278173845814.44,2067611574530.34,999262250016.864,482936474436.975,233399829061.569,112800509154.914,54515699162.1071,26347057095.7429,12733348893.5392,6153938690.58698,2974155638.40545,1437388671.90684,694679917.703904,335733958.039973,162257879.792677,78418101.3696569,37898921.33608,18316284.2934393,8852132.42200397
0.023,7410210388495.86,3581302986074.02,1730818749488.44,836492627188.965,404271051228.388,195381378806.087,94426457368.5779,45635648113.7806,22055390372.591,10659216305.52,5151524880.24245,2489696036.84784,1203252726.13342,581523648.47741,281046322.517105,135827727.053231,65644592.9312029,31725573.8175944,15332748.5039092,7410210.38849587
0.024,6250292153056,3020722594641.21,1459894156997.84,705556661646.91,340990612509.909,164798384226.824,79645909439.7586,38492312410.9956,18603066060.3652,8990732049.32866,4345158078.80967,2099984587.04536,1014907901.12661,490497908.47202,237054217.381062,114566649.53619,55369262.4875305,26759578.2963403,12932717.5119811,6250292.15305601
0.025,5308707493894.52,2565661297497.53,1239966206660.91,599267017497.86,289621568984.412,139972083848.736,67647531658.8457,32693580131.8775,15800579202.652,7636309701.54446,3690575206.7693,1783629251.45186,862015574.374279,416606113.551324,201342828.375605,97307584.3576027,47028076.688423,22728341.3889351,10984448.8371166,5308707.49389453
0.026,4537943987510.11,2193156671818.25,1059937319715.58,512260312344.412,247571835354.952,119649740930.565,57825885098.0607,27946846866.2593,13506516129.2679,6527605021.88958,3154745969.5743,1524666719.1368,736860789.066023,356119678.909502,172110156.47522,83179637.9594406,40200138.7527631,19428446.6173009,9389632.71452306,4537943.98751011
0.027,3902126124806.54,1885870334329.83,911427976480.806,440486782781.436,212884189219.559,102885443539.304,49723817118.9968,24031173933.1611,11614098716.9952,5613012888.31233,2712729971.74176,1311043470.95107,633618163.484148,306223238.201084,147995554.765538,71525219.1800571,34567639.459577,16706299.0020236,8074037.76215009,3902126.12480654
